	 Ce rapport contient les resultats statistiques générés par notre Moulinettes :
	  SOLUTION REALISABLE POUR DEPOT 50
CLUSTER; Duree ttl; Nbr voyage ; Duree VOYAGES (min) ;Voyage [%]; Nbr HLPs ; HLPs (min); HLPs [%];  WS (min); WS [%]; WD (min); WD [%]
318;73;1;73;100;0;0;0;0;0;0;0
317;109;1;109;100;0;0;0;0;0;0;0
316;142;1;142;100;0;0;0;0;0;0;0
315;74;1;74;100;0;0;0;0;0;0;0
314;95;1;95;100;0;0;0;0;0;0;0
313;70;1;70;100;0;0;0;0;0;0;0
312;135;1;135;100;0;0;0;0;0;0;0
311;149;2;120;80.5369;1;27;18.1208;2;1.34228;0;0
310;95;1;95;100;0;0;0;0;0;0;0
309;157;2;120;76.4331;1;19;12.1019;18;11.465;0;0
308;127;2;98;77.1654;1;22;17.3228;7;5.51181;0;0
307;184;3;146;79.3478;2;30;16.3043;8;4.34783;0;0
306;135;2;105;77.7778;1;21;15.5556;9;6.66667;0;0
305;141;2;114;80.8511;1;20;14.1844;7;4.96454;0;0
304;224;2;184;82.1429;1;28;12.5;12;5.35714;0;0
303;171;2;144;84.2105;1;25;14.6199;2;1.16959;0;0
302;114;1;114;100;0;0;0;0;0;0;0
301;166;2;137;82.5301;1;28;16.8675;1;0.60241;0;0
300;163;2;141;86.5031;1;4;2.45399;18;11.0429;0;0
299;192;3;125;65.1042;2;53;27.6042;14;7.29167;0;0
298;165;3;131;79.3939;2;32;19.3939;2;1.21212;0;0
297;257;3;195;75.8755;2;52;20.2335;10;3.89105;0;0
296;171;3;134;78.3626;2;26;15.2047;11;6.43275;0;0
295;205;3;153;74.6341;2;49;23.9024;3;1.46341;0;0
294;175;2;152;86.8571;1;8;4.57143;15;8.57143;0;0
293;135;2;117;86.6667;1;14;10.3704;4;2.96296;0;0
292;147;3;114;77.551;2;18;12.2449;15;10.2041;0;0
291;192;2;163;84.8958;1;26;13.5417;3;1.5625;0;0
290;185;2;164;88.6487;1;20;10.8108;1;0.540541;0;0
289;179;3;142;79.3296;2;23;12.8492;14;7.82123;0;0
288;206;2;186;90.2913;1;19;9.2233;1;0.485437;0;0
287;187;4;141;75.4011;2;32;17.1123;14;7.48663;0;0
286;145;3;123;84.8276;1;2;1.37931;20;13.7931;0;0
285;189;3;146;77.2487;2;20;10.582;23;12.1693;0;0
284;166;3;121;72.8916;2;38;22.8916;7;4.21687;0;0
283;201;3;181;90.0498;1;14;6.96517;6;2.98507;0;0
282;192;2;180;93.75;1;5;2.60417;7;3.64583;0;0
281;237;4;182;76.7933;3;31;13.0802;24;10.1266;0;0
280;265;4;215;81.1321;3;35;13.2075;15;5.66038;0;0
279;189;3;137;72.4868;2;47;24.8677;5;2.6455;0;0
278;192;4;176;91.6667;1;2;1.04167;14;7.29167;0;0
277;236;2;194;82.2034;1;34;14.4068;8;3.38983;0;0
276;173;3;163;94.2197;1;0;0;10;5.78035;0;0
275;222;3;191;86.036;2;23;10.3604;8;3.6036;0;0
274;187;2;183;97.861;0;0;0;4;2.13904;0;0
273;208;4;164;78.8462;3;28;13.4615;16;7.69231;0;0
272;265;5;200;75.4717;3;44;16.6038;21;7.92453;0;0
271;219;3;199;90.8676;1;14;6.39269;6;2.73973;0;0
270;235;2;172;73.1915;1;51;21.7021;12;5.10638;0;0
269;250;4;195;78;3;44;17.6;11;4.4;0;0
268;185;3;150;81.0811;2;16;8.64865;19;10.2703;0;0
267;233;5;164;70.3863;3;43;18.4549;26;11.1588;0;0
266;217;3;184;84.7926;2;19;8.75576;14;6.45161;0;0
265;246;4;193;78.4553;3;27;10.9756;26;10.5691;0;0
264;316;7;225;71.2025;5;57;18.038;34;10.7595;0;0
263;208;2;188;90.3846;1;1;0.480769;19;9.13461;0;0
262;265;3;244;92.0755;2;18;6.79245;3;1.13208;0;0
261;226;4;200;88.4956;3;13;5.75221;13;5.75221;0;0
260;346;4;234;67.6301;3;72;20.8092;40;11.5607;0;0
259;260;4;213;81.9231;2;27;10.3846;20;7.69231;0;0
258;271;5;170;62.7306;4;72;26.5683;29;10.7011;0;0
257;245;5;163;66.5306;4;73;29.7959;9;3.67347;0;0
256;251;3;206;82.0717;1;25;9.96016;20;7.96813;0;0
255;258;4;202;78.2946;2;29;11.2403;27;10.4651;0;0
254;252;3;181;71.8254;2;42;16.6667;29;11.5079;0;0
253;303;4;216;71.2871;3;75;24.7525;12;3.9604;0;0
252;340;5;272;80;3;27;7.94118;41;12.0588;0;0
251;235;3;212;90.2128;1;6;2.55319;17;7.23404;0;0
250;324;5;242;74.6914;3;51;15.7407;31;9.5679;0;0
249;289;4;227;78.5467;3;25;8.65052;37;12.8028;0;0
248;293;7;214;73.0375;6;42;14.3345;37;12.628;0;0
247;254;3;212;83.4646;1;18;7.08661;24;9.44882;0;0
246;344;5;275;79.9419;3;39;11.3372;30;8.72093;0;0
245;298;7;243;81.5436;4;40;13.4228;15;5.03356;0;0
244;303;4;252;83.1683;3;25;8.25082;26;8.58086;0;0
243;296;6;235;79.3919;5;50;16.8919;11;3.71622;0;0
242;296;5;235;79.3919;4;39;13.1757;22;7.43243;0;0
241;258;7;175;67.8295;4;52;20.155;31;12.0155;0;0
240;322;5;243;75.4658;3;59;18.323;20;6.21118;0;0
239;321;6;254;79.1277;2;41;12.7726;26;8.09969;0;0
238;280;6;221;78.9286;4;41;14.6429;18;6.42857;0;0
237;346;4;269;77.7457;3;56;16.185;21;6.06936;0;0
236;314;3;274;87.2611;2;25;7.96178;15;4.77707;0;0
235;281;6;206;73.3096;4;51;18.1495;24;8.54093;0;0
234;282;6;234;82.9787;2;24;8.51064;24;8.51064;0;0
233;301;4;248;82.392;3;36;11.9601;17;5.64784;0;0
232;322;5;233;72.3602;3;49;15.2174;40;12.4224;0;0
231;288;4;240;83.3333;3;40;13.8889;8;2.77778;0;0
230;313;6;256;81.7891;3;41;13.099;16;5.11182;0;0
229;277;6;240;86.6426;3;25;9.02527;12;4.33213;0;0
228;328;6;263;80.1829;4;46;14.0244;19;5.79268;0;0
227;367;5;331;90.1907;4;21;5.72207;15;4.08719;0;0
226;420;5;354;84.2857;3;47;11.1905;19;4.52381;0;0
225;433;7;364;84.0647;3;48;11.0855;21;4.84988;0;0
