	 Ce rapport contient les resultats statistiques générés par notre Moulinettes :
	  SOLUTION REALISABLE POUR DEPOT 50
CLUSTER; Duree ttl; Nbr voyage ; Duree VOYAGES (min) ;Voyage [%]; Nbr HLPs ; HLPs (min); HLPs [%];  WS (min); WS [%]; WD (min); WD [%]
193;99;1;99;100;0;0;0;0;0;0;0
192;162;2;139;85;1;22;13;1;0;0;0
191;143;2;128;89;1;14;9;1;0;0;0
190;94;2;77;81;1;15;15;2;2;0;0
189;122;1;122;100;0;0;0;0;0;0;0
188;108;1;108;100;0;0;0;0;0;0;0
187;131;2;104;79;1;13;9;14;10;0;0
186;140;2;104;74;1;18;12;18;12;0;0
185;109;1;109;100;0;0;0;0;0;0;0
184;119;2;97;81;1;19;15;3;2;0;0
183;140;2;114;81;1;25;17;1;0;0;0
182;149;2;134;89;1;13;8;2;1;0;0
181;126;2;108;85;0;0;0;18;14;0;0
180;130;2;112;86;1;15;11;3;2;0;0
179;163;2;141;86;1;13;7;9;5;0;0
178;121;2;104;85;1;16;13;1;0;0;0
177;152;1;152;100;0;0;0;0;0;0;0
176;110;2;92;83;1;16;14;2;1;0;0
175;138;2;111;80;1;24;17;3;2;0;0
174;141;2;128;90;1;12;8;1;0;0;0
173;101;2;85;84;1;15;14;1;0;0;0
172;104;2;84;80;1;13;12;7;6;0;0
171;197;3;181;91;0;0;0;16;8;0;0
170;172;2;151;87;1;18;10;3;1;0;0
169;144;2;98;68;1;44;30;2;1;0;0
168;201;2;174;86;1;11;5;16;7;0;0
167;197;2;186;94;1;7;3;4;2;0;0
166;154;2;136;88;1;15;9;3;1;0;0
77;1049;22;794;75;14;155;14;100;9;0;0
76;1018;20;784;77;15;143;14;91;8;0;0
75;966;17;778;80;4;65;6;123;12;0;0
74;869;16;693;79;8;84;9;92;10;0;0
73;892;21;702;78;7;109;12;81;9;0;0
72;982;24;670;68;19;211;21;101;10;0;0
71;973;19;779;80;7;83;8;111;11;0;0
70;951;19;763;80;9;107;11;81;8;0;0
69;953;18;740;77;10;96;10;117;12;0;0
68;1044;30;812;77;17;99;9;133;12;0;0
67;981;19;843;85;3;40;4;98;9;0;0
66;977;22;787;80;12;84;8;106;10;0;0
65;905;17;707;78;9;78;8;120;13;0;0
64;990;19;730;73;14;129;13;131;13;0;0
63;965;21;758;78;10;118;12;89;9;0;0
62;1031;25;796;77;6;96;9;139;13;0;0
61;1024;22;794;77;10;134;13;96;9;0;0
60;865;17;735;84;9;45;5;85;9;0;0
59;1028;20;780;75;13;124;12;124;12;0;0
58;984;14;780;79;8;105;10;99;10;0;0
57;1257;26;834;66;15;213;16;210;16;0;0
56;1011;17;810;80;9;118;11;83;8;0;0
55;1052;19;878;83;7;92;8;82;7;0;0
54;1066;24;857;80;6;75;7;134;12;0;0
53;1211;28;966;79;13;127;10;118;9;0;0
52;1110;19;888;80;14;99;8;123;11;0;0
51;1089;19;811;74;9;132;12;146;13;0;0
50;1079;22;849;78;13;86;7;144;13;0;0
49;1468;46;1137;77;26;99;6;232;15;0;0
48;1024;16;817;79;10;117;11;90;8;0;0
47;873;14;747;85;9;42;4;84;9;0;0
46;1074;25;882;82;13;79;7;113;10;0;0
45;981;28;749;76;16;83;8;149;15;0;0
44;1122;21;851;75;14;192;17;79;7;0;0
43;1071;26;853;79;11;81;7;137;12;0;0
42;1084;24;913;84;5;43;3;128;11;0;0
41;1139;25;866;76;14;118;10;155;13;0;0
40;1137;25;1007;88;2;23;2;107;9;0;0
39;1142;31;870;76;20;147;12;125;10;0;0
38;1154;27;1012;87;4;25;2;117;10;0;0
37;1119;21;865;77;13;157;14;97;8;0;0
36;1146;24;928;80;10;110;9;108;9;0;0
15;1273;33;969;76;23;131;10;173;13;0;0
14;1284;27;1064;82;14;79;6;141;10;0;0
13;238;5;179;75;2;22;9;37;15;0;0
12;1289;28;1052;81;10;83;6;154;11;0;0
11;1295;33;1025;79;13;96;7;174;13;0;0
10;1475;36;1153;78;21;142;9;180;12;0;0
9;1373;44;1044;76;25;84;6;245;17;0;0
8;1464;29;1276;87;3;43;2;145;9;0;0
7;1135;28;905;79;16;77;6;153;13;0;0
6;1449;31;1192;82;8;101;6;156;10;0;0
1;1507;39;1243;82;19;80;5;184;12;0;0
0;1290;34;1065;82;16;94;7;131;10;0;0
2;1498;28;1216;81;9;136;9;146;9;0;0
3;1495;33;1133;75;17;144;9;218;14;0;0
4;1484;44;1231;82;19;61;4;192;12;0;0
5;1473;42;1158;78;19;124;8;191;12;0;0
16;1378;26;1091;79;6;92;6;195;14;0;0
17;1255;32;1029;81;18;91;7;135;10;0;0
18;1277;31;1026;80;14;110;8;141;11;0;0
19;1225;30;1000;81;15;105;8;120;9;0;0
20;1223;43;1032;84;21;45;3;146;11;0;0
21;1279;28;1083;84;4;49;3;147;11;0;0
22;1232;21;961;78;9;117;9;154;12;0;0
23;1232;25;936;75;13;122;9;174;14;0;0
24;1238;25;980;79;14;110;8;148;11;0;0
25;1214;43;1003;82;26;56;4;155;12;0;0
26;1434;43;1103;76;22;101;7;230;16;0;0
27;1052;22;839;79;15;107;10;106;10;0;0
28;1232;28;940;76;15;131;10;161;13;0;0
29;1038;18;854;82;12;91;8;93;8;0;0
30;1191;27;978;82;8;96;8;117;9;0;0
31;1133;39;902;79;21;83;7;148;13;0;0
32;1217;34;918;75;16;124;10;175;14;0;0
33;1126;25;905;80;13;88;7;133;11;0;0
34;1226;37;944;76;18;90;7;192;15;0;0
35;1147;24;980;85;2;20;1;147;12;0;0
78;895;22;679;75;10;97;10;119;13;0;0
79;923;21;697;75;13;114;12;112;12;0;0
80;913;19;620;67;14;168;18;125;13;0;0
81;921;17;751;81;6;64;6;106;11;0;0
82;932;20;738;79;9;85;9;109;11;0;0
83;830;18;668;80;8;73;8;89;10;0;0
84;864;18;739;85;5;38;4;87;10;0;0
85;882;18;714;80;5;46;5;122;13;0;0
86;834;21;635;76;13;98;11;101;12;0;0
87;846;14;668;78;9;95;11;83;9;0;0
88;249;3;232;93;0;0;0;17;6;0;0
89;797;16;620;77;12;106;13;71;8;0;0
90;880;16;752;85;7;74;8;54;6;0;0
91;846;18;577;68;12;154;18;115;13;0;0
